orp_nazev,Index_vzdelavacich_problemu,Index_destabilizujici_chudoby,Index_soc_znevyhodneni,Index_zaostavani,Index_financovani,celkem,podil,podil_0_18,datum,day_no
Litovel,střední,nízké,střední,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",491,0.020810375519199797,0.32790224032586557,2022-06-10,70
Mohelnice,velmi nízké,nízké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",452,0.024561212845731675,0.3495575221238938,2022-06-10,70
Olomouc,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,3513,0.021238905951488477,0.3637916310845431,2022-06-10,70
Prostějov,vysoké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1372,0.014020315150524229,0.3826530612244898,2022-06-10,70
Přerov,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1109,0.013906479240598393,0.33724075743913434,2022-06-10,70
Šternberk,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,241,0.010005397102171295,0.43983402489626555,2022-06-10,70
Šumperk,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1326,0.019353991213346373,0.39064856711915535,2022-06-10,70
Uničov,nízké,střední,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,310,0.013866523528359277,0.36451612903225805,2022-06-10,70
Zábřeh,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,370,0.011194820126471211,0.33783783783783783,2022-06-10,70
Bystřice pod Hostýnem,vysoké,nízké,velmi vysoké,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,336,0.022068965517241378,0.4880952380952381,2022-06-10,70
Holešov,velmi nízké,nízké,střední,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,187,0.008689994888238302,0.36363636363636365,2022-06-10,70
Kroměříž,nízké,střední,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1076,0.01580447107899298,0.36988847583643125,2022-06-10,70
Luhačovice,velmi nízké,velmi nízké,nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,558,0.030053320407174018,0.34946236559139787,2022-06-10,70
Otrokovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,829,0.024402449075709407,0.37273823884197826,2022-06-10,70
Rožnov pod Radhoštěm,velmi nízké,velmi nízké,střední,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,683,0.019490340438889364,0.39824304538799415,2022-06-10,70
Uherské Hradiště,velmi nízké,nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1618,0.018043938887030223,0.34857849196538937,2022-06-10,70
Uherský Brod,velmi nízké,velmi nízké,střední,Výrazně méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,808,0.015550423402617398,0.3094059405940594,2022-06-10,70
Valašské Klobouky,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,327,0.01418470481065371,0.3761467889908257,2022-06-10,70
Valašské Meziříčí,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1167,0.027967503055575528,0.33590402742073694,2022-06-10,70
Vizovice,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,335,0.019463165233557983,0.3164179104477612,2022-06-10,70
Vsetín,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,916,0.014065043147130179,0.37663755458515286,2022-06-10,70
Zlín,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1949,0.019694229156351363,0.35351462288353,2022-06-10,70
Bílovec,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,413,0.016101364522417155,0.324455205811138,2022-06-10,70
Bohumín,vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,587,0.017692446802097774,0.27597955706984667,2022-06-10,70
Bruntál,vysoké,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",436,0.012084927102389268,0.3830275229357798,2022-06-10,70
Český Těšín,nízké,vysoké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,270,0.010597378130151503,0.4222222222222222,2022-06-10,70
Frenštát pod Radhoštěm,střední,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,301,0.015431149389931302,0.4684385382059801,2022-06-10,70
Frýdek-Místek,velmi nízké,střední,nízké,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,4844,0.04313868678143006,0.5472749793559042,2022-06-10,70
Frýdlant nad Ostravicí,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,595,0.023672170280485377,0.4436974789915966,2022-06-10,70
Havířov,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1471,0.017188997172170418,0.44663494221617944,2022-06-10,70
Hlučín,velmi nízké,střední,nízké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,332,0.00816607634789453,0.42168674698795183,2022-06-10,70
Jablunkov,velmi nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,273,0.012039160345739989,0.3956043956043956,2022-06-10,70
Karviná,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",550,0.008911500696717327,0.38181818181818183,2022-06-10,70
Kopřivnice,velmi nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,743,0.01831583099147069,0.3405114401076716,2022-06-10,70
Kravaře,velmi nízké,střední,vysoké,Výrazně méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,88,0.004131067505398554,0.3068181818181818,2022-06-10,70
Krnov,střední,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,420,0.010554885404101327,0.4119047619047619,2022-06-10,70
Nový Jičín,velmi nízké,střední,nízké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,835,0.017130664915987935,0.3341317365269461,2022-06-10,70
Odry,vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,379,0.022382330360833876,0.39841688654353563,2022-06-10,70
Opava,velmi nízké,nízké,střední,Méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,1564,0.015549501898948121,0.3491048593350384,2022-06-10,70
Orlová,vysoké,velmi vysoké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,203,0.00551226002661091,0.31527093596059114,2022-06-10,70
Ostrava,velmi vysoké,velmi vysoké,vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,5675,0.017884042077133008,0.332863436123348,2022-06-10,70
Rýmařov,vysoké,velmi vysoké,velmi vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,327,0.021654195086418117,0.3761467889908257,2022-06-10,70
Třinec,velmi nízké,velmi nízké,velmi nízké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,746,0.01369133921852919,0.39276139410187666,2022-06-10,70
Vítkov,velmi vysoké,velmi vysoké,velmi vysoké,Více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,250,0.01888645463473597,0.408,2022-06-10,70
Praha,nízké,střední,velmi nízké,Vzdělávací problémy na míře očekávání,NA,86363,0.0646873155546767,0.34693097738614914,2022-06-11,71
Benešov,velmi nízké,nízké,velmi nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,2165,0.03529795385994946,0.3861431870669746,2022-06-11,71
Beroun,nízké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2012,0.030444716812686307,0.3633200795228628,2022-06-11,71
Brandýs nad Labem-Stará Boleslav,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,5139,0.04451123391134131,0.3487059739248881,2022-06-11,71
Čáslav,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,866,0.03348542262779367,0.3233256351039261,2022-06-11,71
Černošice,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,6007,0.03944577601208261,0.39620442816713836,2022-06-11,71
Český Brod,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,616,0.028189639392275305,0.42207792207792205,2022-06-11,71
Dobříš,vysoké,nízké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,600,0.02579203026264884,0.38333333333333336,2022-06-11,71
Hořovice,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1347,0.044431983111228396,0.33778767631774315,2022-06-11,71
Kladno,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,3275,0.02597866180145163,0.37435114503816797,2022-06-11,71
Kolín,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2868,0.03397943225439553,0.37796373779637377,2022-06-11,71
Kralupy nad Vltavou,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,1447,0.04394970234479407,0.3683483068417415,2022-06-11,71
Kutná Hora,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1916,0.03797970187123374,0.3794363256784969,2022-06-11,71
Lysá nad Labem,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,2128,0.07839381101491988,0.3966165413533835,2022-06-11,71
Mělník,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1549,0.034577436492700564,0.3841187863137508,2022-06-11,71
Mladá Boleslav,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,7637,0.06758108048316447,0.43132119942385755,2022-06-11,71
Mnichovo Hradiště,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,636,0.035260852691689305,0.3710691823899371,2022-06-11,71
Neratovice,velmi vysoké,vysoké,střední,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,875,0.027119169378583604,0.376,2022-06-11,71
Nymburk,střední,střední,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1234,0.030472897888628225,0.3525121555915721,2022-06-11,71
Poděbrady,velmi nízké,střední,střední,Výrazně méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,982,0.03110055423594616,0.37169042769857435,2022-06-11,71
Příbram,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2621,0.037445531823701694,0.3456695917588707,2022-06-11,71
Rakovník,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1285,0.023054703338895168,0.38365758754863816,2022-06-11,71
Říčany,nízké,velmi nízké,velmi nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,3084,0.041967748520106145,0.36219195849546043,2022-06-11,71
Sedlčany,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,810,0.036855036855036855,0.4148148148148148,2022-06-11,71
Slaný,velmi vysoké,vysoké,vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1426,0.034968121628249145,0.4284712482468443,2022-06-11,71
Vlašim,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,657,0.025320846340617414,0.3911719939117199,2022-06-11,71
Votice,nízké,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,301,0.024157303370786518,0.3654485049833887,2022-06-11,71
Blatná,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,448,0.03293149073801823,0.296875,2022-06-11,71
České Budějovice,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,4512,0.027653836724687422,0.36148049645390073,2022-06-11,71
Český Krumlov,střední,velmi vysoké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,1605,0.038724153738509424,0.35077881619937695,2022-06-11,71
Dačice,střední,střední,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,200,0.010711225364181662,0.435,2022-06-11,71
Jindřichův Hradec,nízké,vysoké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,837,0.01783203374664451,0.4229390681003584,2022-06-11,71
Kaplice,vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,858,0.043174155889900874,0.30536130536130535,2022-06-11,71
Milevsko,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,267,0.014690508940852819,0.42696629213483145,2022-06-11,71
Písek,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",1861,0.034841705202853235,0.3261687264911338,2022-06-11,71
Prachatice,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",1135,0.03407692076740625,0.3233480176211454,2022-06-11,71
Soběslav,velmi vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,556,0.02531645569620253,0.302158273381295,2022-06-11,71
Strakonice,vysoké,střední,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,808,0.01795515655207662,0.36757425742574257,2022-06-11,71
Tábor,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2392,0.029718346606368573,0.3532608695652174,2022-06-11,71
Trhové Sviny,velmi vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,315,0.016279911106517133,0.4666666666666667,2022-06-11,71
Třeboň,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,656,0.026592079127650086,0.4222560975609756,2022-06-11,71
Týn nad Vltavou,nízké,vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,280,0.019868019584190735,0.3892857142857143,2022-06-11,71
Vimperk,vysoké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",559,0.031994047619047616,0.3881932021466905,2022-06-11,71
Vodňany,vysoké,střední,vysoké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,936,0.0784774042089377,0.2863247863247863,2022-06-11,71
Blovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,271,0.022151381396109202,0.4132841328413284,2022-06-11,71
Domažlice,vysoké,střední,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,1179,0.029137010676156583,0.356234096692112,2022-06-11,71
Horažďovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,293,0.02542299349240781,0.3924914675767918,2022-06-11,71
Horšovský Týn,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,456,0.03080248581464469,0.3026315789473684,2022-06-11,71
Klatovy,vysoké,nízké,velmi nízké,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1788,0.03527322943381338,0.3182326621923937,2022-06-11,71
Kralovice,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,586,0.026056024899955534,0.3464163822525597,2022-06-11,71
Nepomuk,vysoké,střední,nízké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,224,0.01930535206412135,0.39732142857142855,2022-06-11,71
Nýřany,střední,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1383,0.02377064677472027,0.33694866232827186,2022-06-11,71
Plzeň,vysoké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,13759,0.07061691644426196,0.29798677229449816,2022-06-11,71
Přeštice,nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,506,0.022091246452739577,0.3300395256916996,2022-06-11,71
Rokycany,vysoké,střední,velmi nízké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1476,0.02982480955363818,0.34959349593495936,2022-06-11,71
Stod,velmi vysoké,střední,nízké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,881,0.03766727949035872,0.37003405221339386,2022-06-11,71
Stříbro,velmi vysoké,velmi vysoké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,770,0.044856110916928815,0.2597402597402597,2022-06-11,71
Sušice,vysoké,střední,vysoké,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,656,0.02729012397038023,0.3795731707317073,2022-06-11,71
Tachov,velmi vysoké,velmi vysoké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,2910,0.07817747091851812,0.2632302405498282,2022-06-11,71
Aš,velmi vysoké,velmi vysoké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,519,0.029470217477712793,0.35452793834296725,2022-06-11,71
Cheb,velmi vysoké,velmi vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,2214,0.044353627020854616,0.34688346883468835,2022-06-11,71
Karlovy Vary,vysoké,velmi vysoké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,6340,0.07287272560085516,0.3436908517350158,2022-06-11,71
Kraslice,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",230,0.01769094685024229,0.3826086956521739,2022-06-11,71
Mariánské Lázně,velmi vysoké,velmi vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1934,0.08090019242031289,0.3531540847983454,2022-06-11,71
Ostrov,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,804,0.02937200891389325,0.3756218905472637,2022-06-11,71
Sokolov,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1372,0.018415613003677753,0.38411078717201164,2022-06-11,71
Bílina,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,351,0.015594455304780522,0.3646723646723647,2022-06-11,71
Děčín,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1003,0.013174659468547635,0.38883349950149554,2022-06-11,71
Chomutov,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2065,0.02532095692371832,0.39418886198547215,2022-06-11,71
Kadaň,vysoké,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,1295,0.030083397216995378,0.34285714285714286,2022-06-11,71
Litoměřice,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1571,0.026737694873715023,0.3863781031190325,2022-06-11,71
Litvínov,vysoké,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,666,0.018032165484377537,0.45345345345345345,2022-06-11,71
Louny,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,924,0.021257505693974738,0.3722943722943723,2022-06-11,71
Lovosice,střední,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,478,0.01730943327901503,0.34309623430962344,2022-06-11,71
Most,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1835,0.024797632400437843,0.376566757493188,2022-06-11,71
Podbořany,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,261,0.016678382005239953,0.37547892720306514,2022-06-11,71
Roudnice nad Labem,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,664,0.020240199963421326,0.4126506024096386,2022-06-11,71
Rumburk,velmi vysoké,velmi vysoké,velmi vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,659,0.02025884595284208,0.34749620637329287,2022-06-11,71
Teplice,velmi vysoké,velmi vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,3520,0.03310697691917007,0.36306818181818185,2022-06-11,71
Ústí nad Labem,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2604,0.02194671768463814,0.37672811059907835,2022-06-11,71
Varnsdorf,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,397,0.020061650411844965,0.3904282115869018,2022-06-11,71
Žatec,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,719,0.02638725778038755,0.325452016689847,2022-06-11,71
Česká Lípa,velmi vysoké,velmi vysoké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1966,0.025630997079682936,0.39318413021363174,2022-06-11,71
Frýdlant,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,585,0.02386780905752754,0.37948717948717947,2022-06-11,71
Jablonec nad Nisou,střední,velmi vysoké,velmi nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,2023,0.03624668530065219,0.3722194760257044,2022-06-11,71
Jilemnice,velmi nízké,velmi nízké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,834,0.03798852145394917,0.3932853717026379,2022-06-11,71
Liberec,střední,vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,6121,0.04210171543339799,0.3579480477046234,2022-06-11,71
Nový Bor,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,498,0.018939682056742985,0.39959839357429716,2022-06-11,71
Semily,velmi nízké,střední,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,489,0.01912397340633555,0.4274028629856851,2022-06-11,71
Tanvald,velmi vysoké,velmi vysoké,vysoké,Více vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",943,0.04651277498273651,0.4061505832449629,2022-06-11,71
Turnov,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1059,0.031321167667327204,0.3663833805476865,2022-06-11,71
Železný Brod,nízké,nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,325,0.026724775923032646,0.4369230769230769,2022-06-11,71
Broumov,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,508,0.03215800468443376,0.42913385826771655,2022-06-11,71
Dobruška,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,471,0.023400238473767886,0.42250530785562634,2022-06-11,71
Dvůr Králové nad Labem,nízké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,597,0.022205690905709504,0.38190954773869346,2022-06-11,71
Hořice,velmi vysoké,nízké,nízké,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,520,0.02833169881224801,0.40384615384615385,2022-06-11,71
Hradec Králové,velmi nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,4456,0.030309213837761362,0.3494165170556553,2022-06-11,71
Jaroměř,velmi vysoké,vysoké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,652,0.033901830282861894,0.34049079754601225,2022-06-11,71
Jičín,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1401,0.028890767739673768,0.4054246966452534,2022-06-11,71
Kostelec nad Orlicí,vysoké,střední,velmi nízké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,615,0.02456855225311601,0.41300813008130083,2022-06-11,71
Náchod,nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1875,0.03107288455801929,0.3712,2022-06-11,71
Nová Paka,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",486,0.036577105441408894,0.360082304526749,2022-06-11,71
Nové Město nad Metují,velmi nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,399,0.02826579767639558,0.40601503759398494,2022-06-11,71
Nový Bydžov,střední,střední,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,470,0.026985129471206293,0.37446808510638296,2022-06-11,71
Rychnov nad Kněžnou,nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1520,0.044479559886460074,0.3355263157894737,2022-06-11,71
Trutnov,nízké,vysoké,střední,Méně vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",1411,0.022380484090981187,0.3855421686746988,2022-06-11,71
Vrchlabí,velmi vysoké,střední,nízké,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,1196,0.04351781101044282,0.3762541806020067,2022-06-11,71
Česká Třebová,velmi vysoké,vysoké,střední,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,288,0.016131742564274913,0.4131944444444444,2022-06-11,71
Hlinsko,vysoké,velmi nízké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,482,0.02293490673772364,0.31742738589211617,2022-06-11,71
Holice,střední,velmi nízké,velmi nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,784,0.04344934604300599,0.3112244897959184,2022-06-11,71
Chrudim,vysoké,nízké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,2531,0.030241839124408545,0.37139470564994076,2022-06-11,71
Králíky,velmi vysoké,vysoké,velmi vysoké,Více vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",277,0.0321420283128336,0.3935018050541516,2022-06-11,71
Lanškroun,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,633,0.02742040285899935,0.36492890995260663,2022-06-11,71
Litomyšl,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,938,0.03460233141508042,0.3208955223880597,2022-06-11,71
Moravská Třebová,vysoké,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,362,0.013938087170799323,0.31767955801104975,2022-06-11,71
Pardubice,vysoké,střední,velmi nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,5456,0.041301105955201624,0.3456744868035191,2022-06-11,71
Polička,nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,666,0.033953606933469285,0.32882882882882886,2022-06-11,71
Přelouč,vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,889,0.03420546363986149,0.34533183352080987,2022-06-11,71
