orp_nazev,Index_vzdelavacich_problemu,Index_destabilizujici_chudoby,Index_soc_znevyhodneni,Index_zaostavani,Index_financovani,celkem,podil,podil_0_18,datum,day_no
Vlašim,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,511,0.019693991598257986,0.4246575342465753,2022-04-25,24
Votice,nízké,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,258,0.020706260032102727,0.40310077519379844,2022-04-25,24
Blatná,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,394,0.028962069979417818,0.3248730964467005,2022-04-25,24
České Budějovice,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,3917,0.024007109585682765,0.3888179729384733,2022-04-25,24
Český Krumlov,střední,velmi vysoké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,1370,0.033054262069631093,0.3781021897810219,2022-04-25,24
Dačice,střední,střední,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,147,0.007872750642673522,0.43537414965986393,2022-04-25,24
Jindřichův Hradec,nízké,vysoké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,730,0.015552430866249094,0.4452054794520548,2022-04-25,24
Kaplice,vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,733,0.03688421476374981,0.32605729877216916,2022-04-25,24
Milevsko,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,227,0.012489683631361761,0.44493392070484583,2022-04-25,24
Písek,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",1604,0.03003014247467845,0.35785536159601,2022-04-25,24
Prachatice,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",960,0.02882276998829075,0.359375,2022-04-25,24
Soběslav,velmi vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,465,0.021172935069665787,0.33978494623655914,2022-04-25,24
Strakonice,vysoké,střední,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,703,0.015621875069442901,0.3840682788051209,2022-04-25,24
Tábor,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2013,0.025009628644908,0.3770491803278688,2022-04-25,24
Trhové Sviny,velmi vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,306,0.01581477078918807,0.49673202614379086,2022-04-25,24
Třeboň,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,573,0.023227532530706554,0.45549738219895286,2022-04-25,24
Týn nad Vltavou,nízké,vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,257,0.018236003689775064,0.4046692607003891,2022-04-25,24
